market_id,signal_type,total_bet_usd,net_pnl_usd,vwap_entry_price,avg_P_model,avg_live_edge,avg_TTR_minutes,distance_to_strike_bps,is_coinflip,target_win
0x6afc54f64c8855769bc23275c13100fdbe0f13bed4fc15325f41437cd8fb55bd,BUY_NO,248.37,442.75227435857147,0.35,0.2917239933712576,0.3349405945296947,3.9539994333333337,-3.2259229095329296,False,1
0x6bff1fbf3c14d16ddff35c0b018db0bfa4dfd5827e68eb53698f77d582ac93a4,BUY_NO,145.95,123.036937740566,0.53,0.2234021840487578,0.2231419075855277,3.6904162166666663,-4.621385160762203,False,1
0x6c13bf40b84a5865c6db19dd45f3f0813012eb5a37f82ceb78d9126d041251e5,BUY_NO,10.66,-10.69409068,0.41,0.2764039323996788,0.290220494457464,3.866240666666666,-3.889965669395605,False,0
0x6ec0a41f118a0aed7cc8991231ed91cb6d3a47f6d5a605d93de0d5fe3cc23152,BUY_NO,180.81,-190.61767683,0.28,0.4440417300976912,0.2525718230756419,3.842368933333333,-0.8207055123079572,True,0
0x70873974eb8801339f03ff4cf7ec477114b4fee1d4b9220f1c18bcd53537778f,BUY_NO,1.46,-1.46063948,0.48,0.395101388822105,0.1015322931207521,3.886383383333333,-2.483759220298275,False,0
0x71858e451ac97ec144118293af919a32088c0b8c5ad7883685b741809aa58dd9,BUY_NO,186.41,-196.83460643,0.45999999999999996,0.4189250822515442,0.1006317227151223,3.89225905,-1.2356667629709304,True,0
0x7266f280a1f4ed79987b5cc08ed8a85f257ac85f02712bf3c5c1ea00cc84f56b,BUY_NO,3.6,8.396112,0.3,0.4661487755631806,0.2105182703111051,3.9593704333333335,-0.7387434407535022,True,1
0x753a41dc0322803a82e8ba72b6767cc80c83e39fd2a48f97cfc3674053972a09,BUY_NO,180.76,-190.56225328,0.53,0.2992858876644521,0.1473050178745955,3.7928509666666663,-3.0651165032339986,False,0
0x76280f56db46155f6e4bef2d7a8ea731bf0a526b0b9519831ec195ffef9e62ac,BUY_NO,523.11,193.85841176470583,0.68,0.0089275579888307,0.2870596286625977,2.4721764,-12.093355860744172,False,1
0x7723f6ca611e631e260f04b00c1473f19b5c8bb3ec6460ae907eaa6d3a45efe0,BUY_NO,2.24,1.1524341139393939,0.66,0.2052937854650461,0.111264309933049,3.721067066666667,-8.977213188284141,False,1
0x7c812434ec30f05dcafde36c5b2e884f191b9607fcf1aad9f7995126caf7f7df,BUY_NO,246.04,259.2886572221277,0.47,0.1789144372033209,0.3276285837185838,3.688127016666667,-5.316661434549322,False,1
0x7fda1fe77e314600b66d9ef8299be0b30cbd9d02c9994ac84b0c2ced98b52d7d,BUY_NO,580.86,-638.946,0.4699999999999999,0.3119171881646793,0.1947449985705587,3.9490433166666663,-2.883953724838671,False,0
0x7fda8176b92b814b573732c14a6c3368b9a7c77e354f40d64f2f66898d37c54f,BUY_NO,919.65,-1011.615,0.56,0.2247657422209905,0.1918781489561523,3.9087252,-4.437078177047778,False,0
0x810cb89d412d35e36748dfb65194aed5aca70a5b4fa0f6e12bc4a8ed3c6552d1,BUY_NO,1.0,-1.0003,0.46,0.4553353527677127,0.0450727581334937,3.550327633333333,-1.6021406191370693,True,0
0x817e9fd2269a3b5a71e631a6c5eaf54c10f28a94e2d7f8252efd004fa550e146,BUY_NO,1.0,-1.0003,0.57,0.3608422539755221,0.0394392500976207,3.67725245,-4.427540039543622,False,0
0x819754b3350bcc0a88adeaf7d6bbb6a9867f576fbcd88454892621ce64e5f164,BUY_NO,1.0,-1.0003,0.74,0.1795898240033494,0.0448767552077616,1.7002536333333331,-8.36787808761918,False,0
0x8224c9cec15760709ba2ac70a852b02c343fee750b40d91c26318a18682782ee,BUY_NO,387.03,230.2500508474577,0.59,0.0634946878692173,0.3231377000774493,3.883631533333333,-8.943983936943505,False,1
0x83f7577f1c507438d884a3391dc56445b6654fcf63bddb330d496e13c363aa39,BUY_NO,1.43,0.8758381429032256,0.62,0.2888200541020512,0.0676428850827107,3.5129116833333334,-5.862270044942505,False,1
0x863fb26acbcd29fa38b6471951836932e0177339883adc0b1a03bc23f57fdf7a,BUY_NO,126.03,184.27993173,0.4,0.3111942699210052,0.2624939060961375,3.838357583333333,-2.875772877533762,False,1
0x8c9c824bba85559283521afaf16c8d09e2b35463110a4116996624d0052d7182,BUY_NO,13.11,-13.16156163,0.37,0.3710800917383083,0.2355380259835964,3.85241245,-2.0688401684943525,False,0
